name;aria;bal;pH;gumus;azot;phosfor;kaliy;1;2;3;4;5;6;7
1;190;61;6;4,1;17;77;73;20;0,44;0,59;0,31;0,01;0,192;0,02-0,056
2;170;58;6;3,8;12;87;9,5;18;0,4;0,58;0,13;0,59;0,145;0,02-0,056
3;117;66;6,7;3,8;12;75;174;15;0,31;0,55;0,13;0,58;0,211;0,02-0,056
4;127;60;6,6;4,1;15;50;118;15;0,4;0,58;0,23;0,59;0,145;0,02-0,056
5;25;63;6,2;3,8;18;67;106;13;0,4;0,58;0,14;0,59;0,145;0,02-0,056
6;100;58;5,8;4,3;20;44;72;16;0,4;0,58;0,2;0,59;0,145;0,02-0,056
7а;107;58;6,5;4,3;12;75;71;40;0,4;0,58;0,24;0,59;0,145;0,02-0,056
7б;27;66;6,4;4,2;16;95;95;17;0,4;0,58;0,24;0,59;0,145;0,02-0,056
8;113;66;6,4;4,2;16;95;95;17;0,4;0,58;0,24;0,59;0,145;0,02-0,056
9;140;68;6,8;4,4;19;81;109;30;0,4;0,58;0,4;0,59;0,145;0,02-0,056
10;142;70;5,8;3,9;21;81;138;19;0,4;0,58;0,21;0,59;0,145;0,02-0,056
11;45;76;6,2;3,8;15;172;153;10;0,4;0,58;0,18;0,59;0,145;0,02-0,056
12;87;55;6,4;3,4;12;45;116;10;0,4;0,58;0,16;0,59;0,145;0,02-0,056
13;34;55;6,4;3,4;12;45;116;10;0,4;0,58;0,16;0,59;0,145;0,02-0,056
14;109;52;6,2;3,2;19;40;57;15;0,4;0,58;0,14;0,59;0,145;0,02-0,056
15;38;63;7;4,5;16;56;117;14;0,4;0,58;0,22;0,59;0,145;0,02-0,056
16;48;63;7;4,5;16;56;117;14;0,4;0,58;0,22;0,59;0,145;0,02-0,056
17;10;61;7,2;3,3;11;98;119;14;0,4;0,58;0,17;0,59;0,145;0,02-0,056
18;28;61;7,2;3,3;11;98;119;14;0,4;0,58;0,17;0,59;0,145;0,02-0,056
19;140;61;7,2;3,3;11;98;119;14;0,4;0,58;0,17;0,59;0,145;0,02-0,056
20;110;71;6;3,4;25;87;138;21;0,4;0,58;0,2;0,59;0,145;0,02-0,056
21;64;66;6,4;4,2;16;95;95;17;0,4;0,58;0,24;0,59;0,145;0,02-0,056
22;100;68;6,8;4,4;19;81;109;30;0,4;0,58;0,4;0,59;0,145;0,02-0,056
23а;122;66;6;3,9;18;84;111;16;0,31;0,57;0,19;1,18;0,08;0,02-0,056
23б;47;66;6;3,9;18;84;111;16;0,31;0,57;0,19;1,18;0,08;0,02-0,056
24;65;76;6,2;3,8;15;172;153;10;0,4;0,58;0,18;0,59;0,145;0,02-0,056
25;115;55;6,3;3,3;12;38;117;14;0,4;0,58;0,2;0,59;0,145;0,02-0,056
26;60;59;6,2;4;14;60;104;14;0,4;0,58;0,23;0,59;0,145;0,02-0,056
